mode,seed,frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
gather-robust,101,8,1776,0.5078653442621527,0.03977424278855324,-0.004511349368840456,0.0,0.0
gather-robust,1009,8,1776,0.41651394376999396,0.038491230458021164,-0.003099550725892186,0.0,0.0
gather-robust,2027,8,1776,0.44302720223587055,0.03947148472070694,-0.0011151251383125782,0.0,0.0
gather-robust,4093,8,1776,0.48011487599258346,0.039309706538915634,-0.0032385096419602633,0.0,0.0
gather-robust,8089,8,1776,0.4560317304784024,0.039701007306575775,-0.004775211215019226,0.0,0.0
scatter-only,101,8,1776,0.8665747215454132,0.0904252678155899,0.002623537089675665,0.0,0.0
scatter-only,1009,8,1776,0.8185712766347508,0.09009148925542831,-0.008008819073438644,0.0,0.0
scatter-only,2027,8,1776,0.7914192743293248,0.08908495306968689,-0.003366753226146102,0.0,0.0
scatter-only,4093,8,1776,0.8499737367992356,0.09002271294593811,-0.004218213260173798,0.0,0.0
scatter-only,8089,8,1776,0.8033554282592411,0.09086582809686661,-0.0037527908571064472,0.0,0.0
scatter-backup,101,8,1776,0.7294160220759099,0.05437857657670975,0.003580986289307475,0.0,0.0
scatter-backup,1009,8,1776,0.5691230993828322,0.05064893886446953,-0.0014929724857211113,0.0,0.0
scatter-backup,2027,8,1776,0.5435091520033506,0.0510350838303566,-0.002489400329068303,0.0,0.0
scatter-backup,4093,8,1776,0.525689355524763,0.050023894757032394,-0.0013415238354355097,0.0,0.0
scatter-backup,8089,8,1776,0.5050695262956315,0.05186402425169945,-0.002046949462965131,0.0,0.0
gather-robust,101,17,2805,0.5187290209742572,0.034227434545755386,0.0001952548773260787,0.0,0.0
gather-robust,1009,17,2805,0.4282235082169653,0.03296630457043648,-0.0033571484964340925,0.0,0.0
gather-robust,2027,17,2805,0.4634376292995035,0.03393587842583656,0.0030887273605912924,0.0,0.0
gather-robust,4093,17,2805,0.47422766072811934,0.034339819103479385,-2.8033604394295253e-05,0.0,0.0
gather-robust,8089,17,2805,0.42485221135744095,0.032964907586574554,-0.001945445779711008,0.0,0.0
scatter-only,101,17,2805,0.8623533237768112,0.07875730842351913,0.0021424400620162487,0.0,0.0
scatter-only,1009,17,2805,0.8129973788762347,0.0766812190413475,-0.0021380549296736717,0.0,0.0
scatter-only,2027,17,2805,0.784666135583233,0.07470297068357468,-0.001595721230842173,0.0,0.0
scatter-only,4093,17,2805,0.837567998761282,0.07792094349861145,2.2326943508232944e-05,0.0,0.0
scatter-only,8089,17,2805,0.8937339944394723,0.07825414091348648,-0.0007577066426165402,0.0,0.0
scatter-backup,101,17,2805,0.5768448335027462,0.044896215200424194,-0.0009683476528152823,0.0,0.0
scatter-backup,1009,17,2805,0.6257574973478974,0.04584883153438568,-0.00017461556126363575,0.0,0.0
scatter-backup,2027,17,2805,0.4853039795179196,0.043292634189128876,-0.004637674894183874,0.0,0.0
scatter-backup,4093,17,2805,0.6394688226895223,0.046769555658102036,0.0038039505016058683,0.0,0.0
scatter-backup,8089,17,2805,0.5047955128961313,0.04319450259208679,0.0014213616959750652,0.0,0.0
gather-robust,101,26,2922,0.5176175115834685,0.03583088144659996,0.004013038240373135,0.0,0.0
gather-robust,1009,26,2922,0.5303796995209569,0.03516353294253349,1.1344057384121697e-05,0.0,0.0
gather-robust,2027,26,2922,0.47992410027212246,0.034910399466753006,-0.0024761592503637075,0.0,0.0
gather-robust,4093,26,2922,0.47048019307455313,0.03408787027001381,-0.0006535955471917987,0.0,0.0
gather-robust,8089,26,2922,0.48951367707496096,0.03504412621259689,-0.002308204770088196,0.0,0.0
scatter-only,101,26,2922,0.8645081580604671,0.07625650614500046,0.0005000139935873449,0.0,0.0
scatter-only,1009,26,2922,0.8732250013839615,0.07613053172826767,0.00249987724237144,0.0,0.0
scatter-only,2027,26,2922,0.8822736828999237,0.07456456869840622,-0.003938377369195223,0.0,0.0
scatter-only,4093,26,2922,0.850441450261531,0.07508346438407898,-0.002961194608360529,0.0,0.0
scatter-only,8089,26,2922,0.8987826196757769,0.07719498872756958,0.0016089366981759667,0.0,0.0
scatter-backup,101,26,2922,0.619825974204795,0.04586353898048401,0.0034178425557911396,0.0,0.0
scatter-backup,1009,26,2922,0.6040947251718058,0.04390551894903183,-0.0016491091810166836,0.0,0.0
scatter-backup,2027,26,2922,0.537446726033897,0.0433257631957531,-0.005826785694807768,0.0,0.0
scatter-backup,4093,26,2922,0.6752618747981124,0.04528046026825905,0.0034912796691060066,0.0,0.0
scatter-backup,8089,26,2922,0.5324325872654785,0.04316481202840805,0.000679441262036562,0.0,0.0
gather-robust,101,35,1197,0.3516601441152177,0.04587332904338837,-0.0018301376840099692,0.0,0.0
gather-robust,1009,35,1197,0.3447986322168986,0.04605504870414734,-0.005268211010843515,0.0,0.0
gather-robust,2027,35,1197,0.407718091884649,0.047281309962272644,0.004222168121486902,0.0,0.0
gather-robust,4093,35,1197,0.3743146719554477,0.04936620593070984,4.263310620444827e-05,0.0,0.0
gather-robust,8089,35,1197,0.3567499659870153,0.0481659434735775,-0.004272923339158297,0.0,0.0
scatter-only,101,35,1197,0.8301724032926396,0.13766784965991974,-0.0023003583773970604,0.0,0.0
scatter-only,1009,35,1197,0.8039996735498871,0.12993046641349792,-0.013107378035783768,0.0,0.0
scatter-only,2027,35,1197,0.8329226982614468,0.13187099993228912,-0.0006773481727577746,0.0,0.0
scatter-only,4093,35,1197,0.8366776259801195,0.13452935218811035,0.007910174317657948,0.0,0.0
scatter-only,8089,35,1197,0.8653774862691325,0.14036184549331665,-0.003152959980070591,0.0,0.0
scatter-backup,101,35,1197,0.6437679719635295,0.07213535159826279,0.00045391134335659444,0.0,0.0
scatter-backup,1009,35,1197,0.6079680805419456,0.07044185698032379,1.634033651498612e-05,0.0,0.0
scatter-backup,2027,35,1197,0.6243140597205373,0.07344953715801239,0.00435677170753479,0.0,0.0
scatter-backup,4093,35,1197,0.6597578302082729,0.07197421044111252,-0.0033796357456594706,0.0,0.0
scatter-backup,8089,35,1197,0.510996008993013,0.0735042616724968,0.001995959784835577,0.0,0.0
gather-robust,101,44,3093,0.38967063957479275,0.027873799204826355,0.000769477803260088,0.0,0.0
gather-robust,1009,44,3093,0.3578560554463445,0.027768293395638466,-0.00338329141959548,0.0,0.0
gather-robust,2027,44,3093,0.38448416812518943,0.028777731582522392,0.0008250355604104698,0.0,0.0
gather-robust,4093,44,3093,0.36955178689931695,0.02853451482951641,-0.0006970053655095398,0.0,0.0
gather-robust,8089,44,3093,0.45233570046116944,0.0287312101572752,0.0006534471176564693,0.0,0.0
scatter-only,101,44,3093,0.883043175036638,0.08135281503200531,0.004442824050784111,0.0,0.0
scatter-only,1009,44,3093,0.9307549254079897,0.08153277635574341,-0.003138486295938492,0.0,0.0
scatter-only,2027,44,3093,0.8215765121736779,0.07933918386697769,-0.0027798577211797237,0.0,0.0
scatter-only,4093,44,3093,0.9018459771365979,0.0845574289560318,-0.0003747603914234787,0.0,0.0
scatter-only,8089,44,3093,0.8228093589780175,0.07956774532794952,-0.002769573824480176,0.0,0.0
scatter-backup,101,44,3093,0.8428902433806101,0.0449988953769207,0.007463008631020784,0.0,0.0
scatter-backup,1009,44,3093,0.4949715749563003,0.04315944388508797,-0.0033235109876841307,0.0,0.0
scatter-backup,2027,44,3093,0.5554003484351869,0.04391045868396759,-0.0001898841728689149,0.0,0.0
scatter-backup,4093,44,3093,0.5416547570642863,0.042926061898469925,0.0007660153787583113,0.0,0.0
scatter-backup,8089,44,3093,0.6381071214587358,0.04271651804447174,0.000954833347350359,0.0,0.0
gather-robust,101,53,2223,0.4280541224994087,0.03689777851104736,-0.003091810503974557,0.0,0.0
gather-robust,1009,53,2223,0.4009101490672243,0.0388110913336277,-0.0011116382665932178,0.0,0.0
gather-robust,2027,53,2223,0.3813034801094222,0.03715675696730614,0.0009457937558181584,0.0,0.0
gather-robust,4093,53,2223,0.40444212240141314,0.03974872827529907,-0.0019695896189659834,0.0,0.0
gather-robust,8089,53,2223,0.3945262550564235,0.03704507276415825,-0.003243840066716075,0.0,0.0
scatter-only,101,53,2223,0.9091524175740361,0.10028913617134094,-0.0010006997035816312,0.0,0.0
scatter-only,1009,53,2223,0.9015458228289119,0.1002531424164772,0.002216053195297718,0.0,0.0
scatter-only,2027,53,2223,0.91473700452807,0.09795096516609192,0.003590319538488984,0.0,0.0
scatter-only,4093,53,2223,0.8267818271866744,0.09644974023103714,-0.004640369210392237,0.0,0.0
scatter-only,8089,53,2223,0.8643970280512712,0.09843193739652634,-0.003954051993787289,0.0,0.0
scatter-backup,101,53,2223,0.6318472885963735,0.05292529985308647,0.0009492371464148164,0.0,0.0
scatter-backup,1009,53,2223,0.509567548736528,0.05211669206619263,-0.004991695750504732,0.0,0.0
scatter-backup,2027,53,2223,0.4849440826287068,0.05321647971868515,0.0003722359542734921,0.0,0.0
scatter-backup,4093,53,2223,0.8070228201773962,0.054173268377780914,0.0036358688957989216,0.0,0.0
scatter-backup,8089,53,2223,0.4880756238039627,0.051589176058769226,-0.0031553818844258785,0.0,0.0
gather-robust,101,62,2448,0.45286306891328204,0.03649842366576195,-0.0046670520678162575,0.0,0.0
gather-robust,1009,62,2448,0.45735716715745833,0.03743695840239525,-0.0014109371695667505,0.0,0.0
gather-robust,2027,62,2448,0.44149570253496884,0.037823233753442764,-6.701139500364661e-05,0.0,0.0
gather-robust,4093,62,2448,0.4009548492727317,0.035794373601675034,-0.001104640425182879,0.0,0.0
gather-robust,8089,62,2448,0.48576832357225,0.037658583372831345,-0.001899310969747603,0.0,0.0
scatter-only,101,62,2448,0.841459191389678,0.09538120776414871,-0.007049520965665579,0.0,0.0
scatter-only,1009,62,2448,0.828926781398286,0.09374803304672241,0.0008088917238637805,0.0,0.0
scatter-only,2027,62,2448,0.8945572263236835,0.09684690833091736,-0.0007725292816758156,0.0,0.0
scatter-only,4093,62,2448,0.7790372787014515,0.09345656633377075,-0.004404998850077391,0.0,0.0
scatter-only,8089,62,2448,0.8548783297192905,0.09668057411909103,-0.0001945217518368736,0.0,0.0
scatter-backup,101,62,2448,0.5269527713150445,0.052571214735507965,-0.0025306246243417263,0.0,0.0
scatter-backup,1009,62,2448,0.53013924143262,0.05205337703227997,-0.0009193022851832211,0.0,0.0
scatter-backup,2027,62,2448,0.5120711360224778,0.053180575370788574,-0.00013042631326243281,0.0,0.0
scatter-backup,4093,62,2448,0.46375411094289176,0.04975670948624611,-0.002595585072413087,0.0,0.0
scatter-backup,8089,62,2448,0.5047692499149624,0.05158637464046478,-0.0037287496961653233,0.0,0.0
gather-robust,101,71,2976,0.4588668811164696,0.04170011356472969,-0.0029241559095680714,0.0,0.0
gather-robust,1009,71,2976,0.46894756124130516,0.04005102440714836,-0.0038459261413663626,0.0,0.0
gather-robust,2027,71,2976,0.5093939974968391,0.04053696244955063,0.0020084420684725046,0.0,0.0
gather-robust,4093,71,2976,0.8156310300739941,0.043541304767131805,1.500002144894097e-05,0.0,0.0
gather-robust,8089,71,2976,0.4829734166668882,0.041951533406972885,-0.001844140817411244,0.0,0.0
scatter-only,101,71,2976,0.8913275141335957,0.10288041830062866,-0.0008411937742494047,0.0,0.0
scatter-only,1009,71,2976,0.8553563379759171,0.10039113461971283,-0.006778687704354525,0.0,0.0
scatter-only,2027,71,2976,0.8837315195943717,0.10236147046089172,0.0017565902089700103,0.0,0.0
scatter-only,4093,71,2976,0.8968030369978688,0.10398340970277786,-0.0016696542734280229,0.0,0.0
scatter-only,8089,71,2976,0.8951518351226515,0.10252688080072403,0.002572084544226527,0.0,0.0
scatter-backup,101,71,2976,0.5244039227780506,0.05393265187740326,-0.0018272401066496968,0.0,0.0
scatter-backup,1009,71,2976,0.5143976374865326,0.05339685454964638,-0.002606674563139677,0.0,0.0
scatter-backup,2027,71,2976,0.5413773980489933,0.052824050188064575,-0.0012727275025099516,0.0,0.0
scatter-backup,4093,71,2976,0.6277420819131571,0.05564263090491295,0.003746703499928117,0.0,0.0
scatter-backup,8089,71,2976,0.5901688016751658,0.057371847331523895,0.003056358313187957,0.0,0.0
gather-robust,101,80,2675,0.4200495943011181,0.03999978303909302,-0.0038986080326139927,0.0,0.0
gather-robust,1009,80,2675,0.45618065600866176,0.04201589524745941,0.0023444299586117268,0.0,0.0
gather-robust,2027,80,2675,0.43368348491475245,0.04292985796928406,0.0008770260028541088,0.0,0.0
gather-robust,4093,80,2675,0.6380714127107062,0.04288647323846817,-0.0010867711389437318,0.0,0.0
gather-robust,8089,80,2675,0.5071871418968984,0.043133608996868134,0.0009060072479769588,0.0,0.0
scatter-only,101,80,2675,0.8926415801857143,0.10636896640062332,-0.00024928778293542564,0.0,0.0
scatter-only,1009,80,2675,0.8489647028632483,0.10157040506601334,-0.0005641776951961219,0.0,0.0
scatter-only,2027,80,2675,0.9705924370867511,0.10630879551172256,0.0037277385126799345,0.0,0.0
scatter-only,4093,80,2675,0.8619115788582944,0.10463517904281616,-0.0027341169770807028,0.0,0.0
scatter-only,8089,80,2675,0.9091095742968262,0.10632757842540741,0.006343300919979811,0.0,0.0
scatter-backup,101,80,2675,0.5536048680778709,0.05529658496379852,-0.0041794562712311745,0.0,0.0
scatter-backup,1009,80,2675,0.5688408497372245,0.05608729273080826,0.0026768550742417574,0.0,0.0
scatter-backup,2027,80,2675,0.5539508580074484,0.05421459674835205,-0.0006293876213021576,0.0,0.0
scatter-backup,4093,80,2675,0.5283860807750886,0.056885261088609695,0.0018005467718467116,0.0,0.0
scatter-backup,8089,80,2675,0.5704338356222751,0.05812295898795128,-0.0020362194627523422,0.0,0.0
gather-robust,101,89,3027,0.42146126814076185,0.04098781198263168,-0.0031037391163408756,0.0,0.0
gather-robust,1009,89,3027,0.4458010233337939,0.04134368523955345,-0.00022040490875951946,0.0,0.0
gather-robust,2027,89,3027,1.5273793126781046,0.04462546855211258,0.015883201733231544,0.0,0.0
gather-robust,4093,89,3027,0.4667521996195414,0.041191812604665756,-0.001212631817907095,0.0,0.0
gather-robust,8089,89,3027,0.5349095508874067,0.04245257377624512,-0.00015254630125127733,0.0,0.0
scatter-only,101,89,3027,0.9008470786445505,0.09834177792072296,0.000544426089618355,0.0,0.0
scatter-only,1009,89,3027,0.8376115223471661,0.09636660665273666,-0.008291213773190975,0.0,0.0
scatter-only,2027,89,3027,1.0002069789164232,0.09978547692298889,0.003828175365924835,0.0,0.0
scatter-only,4093,89,3027,0.8888161416836438,0.10130740702152252,-0.0016953705344349146,0.0,0.0
scatter-only,8089,89,3027,0.9247666856059844,0.10112464427947998,0.0026400103233754635,0.0,0.0
scatter-backup,101,89,3027,1.6365760878880862,0.05604560673236847,0.0063339713960886,0.0,0.0
scatter-backup,1009,89,3027,0.5715748131716216,0.05475056543946266,-0.00022130411525722593,0.0,0.0
scatter-backup,2027,89,3027,0.591684070240982,0.05410509184002876,-0.001227511209435761,0.0,0.0
scatter-backup,4093,89,3027,0.4939114007407366,0.0553913414478302,-0.0051157549023628235,0.0,0.0
scatter-backup,8089,89,3027,0.5167189472450382,0.05318707227706909,-0.006360734347254038,0.0,0.0
